Year,Data
1816,24
1817,41
1818,34
1819,30
1820,41
1821,73
1822,71
1823,80
1824,85
1825,116
1826,73
1827,144
1828,74
1829,82
1830,101
1831,108
1832,109
1833,202
1834,165
