Year,Data
1856,482
1857,521
1858,533
1859,423
1860,536
1861,978
1862,1347
1863,1176
1864,1606
1865,1075
1866,1287
1867,1526
1868,1502
1869,1980
1870,2324
1871,3174
1872,2705
1873,2781
1874,2962
