Year,Data
1826,73
1827,144
1828,74
1829,82
1830,101
1831,108
1832,109
1833,202
1834,165
1835,158
1836,243
1837,374
1838,302
1839,299
1840,327
1841,212
1842,138
1843,139
1844,277
