Year,Data
1806,2
1807,5
1808,9
1809,14
1810,8
1811,12
1812,46
1813,125
1814,76
1815,51
1816,24
1817,41
1818,34
1819,30
1820,41
1821,73
1822,71
1823,80
1824,85
